Time (CET),Day-ahead Total Load Forecast [MW] - Cyprus (CY),Actual Total Load [MW] - Cyprus (CY)
11.01.2018 05:30 - 11.01.2018 06:00,0,460
11.01.2018 06:00 - 11.01.2018 06:30,0,494
11.01.2018 06:30 - 11.01.2018 07:00,0,510
11.01.2018 07:00 - 11.01.2018 07:30,0,536
11.01.2018 07:30 - 11.01.2018 08:00,0,550
11.01.2018 08:00 - 11.01.2018 08:30,0,552
11.01.2018 08:30 - 11.01.2018 09:00,0,554
11.01.2018 09:00 - 11.01.2018 09:30,0,545
11.01.2018 09:30 - 11.01.2018 10:00,0,535
11.01.2018 10:00 - 11.01.2018 10:30,0,530
11.01.2018 10:30 - 11.01.2018 11:00,0,525
11.01.2018 11:00 - 11.01.2018 11:30,0,522
11.01.2018 11:30 - 11.01.2018 12:00,0,511
11.01.2018 12:00 - 11.01.2018 12:30,0,513
11.01.2018 12:30 - 11.01.2018 13:00,0,519
11.01.2018 13:00 - 11.01.2018 13:30,0,525
11.01.2018 13:30 - 11.01.2018 14:00,0,522
11.01.2018 14:00 - 11.01.2018 14:30,0,526
11.01.2018 14:30 - 11.01.2018 15:00,0,528
11.01.2018 15:00 - 11.01.2018 15:30,0,536
11.01.2018 15:30 - 11.01.2018 16:00,0,559
11.01.2018 16:00 - 11.01.2018 16:30,0,620
11.01.2018 16:30 - 11.01.2018 17:00,0,655
11.01.2018 17:00 - 11.01.2018 17:30,0,670
11.01.2018 17:30 - 11.01.2018 18:00,0,677
11.01.2018 18:00 - 11.01.2018 18:30,0,677
11.01.2018 18:30 - 11.01.2018 19:00,0,669
11.01.2018 19:00 - 11.01.2018 19:30,0,656
11.01.2018 19:30 - 11.01.2018 20:00,0,646
11.01.2018 20:00 - 11.01.2018 20:30,0,627
11.01.2018 20:30 - 11.01.2018 21:00,0,606
11.01.2018 21:00 - 11.01.2018 21:30,0,572
11.01.2018 21:30 - 11.01.2018 22:00,0,542
11.01.2018 22:00 - 11.01.2018 22:30,0,510
11.01.2018 22:30 - 11.01.2018 23:00,0,478
11.01.2018 23:00 - 11.01.2018 23:30,0,443
11.01.2018 23:30 - 12.01.2018 00:00,0,413
12.01.2018 00:00 - 12.01.2018 00:30,0,392
12.01.2018 00:30 - 12.01.2018 01:00,0,377
12.01.2018 01:00 - 12.01.2018 01:30,0,366
12.01.2018 01:30 - 12.01.2018 02:00,0,358
12.01.2018 02:00 - 12.01.2018 02:30,0,354
12.01.2018 02:30 - 12.01.2018 03:00,0,352
12.01.2018 03:00 - 12.01.2018 03:30,0,355
12.01.2018 03:30 - 12.01.2018 04:00,0,359
12.01.2018 04:00 - 12.01.2018 04:30,0,370
12.01.2018 04:30 - 12.01.2018 05:00,0,393
12.01.2018 05:00 - 12.01.2018 05:30,0,437
12.01.2018 05:30 - 12.01.2018 06:00,0,469
12.01.2018 06:00 - 12.01.2018 06:30,0,500
12.01.2018 06:30 - 12.01.2018 07:00,0,509
12.01.2018 07:00 - 12.01.2018 07:30,0,515
12.01.2018 07:30 - 12.01.2018 08:00,0,512
12.01.2018 08:00 - 12.01.2018 08:30,0,505
12.01.2018 08:30 - 12.01.2018 09:00,0,493
12.01.2018 09:00 - 12.01.2018 09:30,0,484
12.01.2018 09:30 - 12.01.2018 10:00,0,476
12.01.2018 10:00 - 12.01.2018 10:30,0,474
12.01.2018 10:30 - 12.01.2018 11:00,0,479
12.01.2018 11:00 - 12.01.2018 11:30,0,475
12.01.2018 11:30 - 12.01.2018 12:00,0,466
12.01.2018 12:00 - 12.01.2018 12:30,0,468
12.01.2018 12:30 - 12.01.2018 13:00,0,475
12.01.2018 13:00 - 12.01.2018 13:30,0,478
12.01.2018 13:30 - 12.01.2018 14:00,0,480
12.01.2018 14:00 - 12.01.2018 14:30,0,494
12.01.2018 14:30 - 12.01.2018 15:00,0,500
12.01.2018 15:00 - 12.01.2018 15:30,0,508
12.01.2018 15:30 - 12.01.2018 16:00,0,531
12.01.2018 16:00 - 12.01.2018 16:30,0,588
12.01.2018 16:30 - 12.01.2018 17:00,0,628
12.01.2018 17:00 - 12.01.2018 17:30,0,639
12.01.2018 17:30 - 12.01.2018 18:00,0,640
12.01.2018 18:00 - 12.01.2018 18:30,0,642
12.01.2018 18:30 - 12.01.2018 19:00,0,635
12.01.2018 19:00 - 12.01.2018 19:30,0,621
12.01.2018 19:30 - 12.01.2018 20:00,0,608
12.01.2018 20:00 - 12.01.2018 20:30,0,591
12.01.2018 20:30 - 12.01.2018 21:00,0,575
12.01.2018 21:00 - 12.01.2018 21:30,0,553
12.01.2018 21:30 - 12.01.2018 22:00,0,531
12.01.2018 22:00 - 12.01.2018 22:30,0,508
12.01.2018 22:30 - 12.01.2018 23:00,0,483
12.01.2018 23:00 - 12.01.2018 23:30,0,451
12.01.2018 23:30 - 13.01.2018 00:00,0,421
13.01.2018 00:00 - 13.01.2018 00:30,0,390
13.01.2018 00:30 - 13.01.2018 01:00,0,366
13.01.2018 01:00 - 13.01.2018 01:30,0,352
13.01.2018 01:30 - 13.01.2018 02:00,0,343
13.01.2018 02:00 - 13.01.2018 02:30,0,337
13.01.2018 02:30 - 13.01.2018 03:00,0,334
13.01.2018 03:00 - 13.01.2018 03:30,0,335
13.01.2018 03:30 - 13.01.2018 04:00,0,336
13.01.2018 04:00 - 13.01.2018 04:30,0,341
13.01.2018 04:30 - 13.01.2018 05:00,0,347
13.01.2018 05:00 - 13.01.2018 05:30,0,358
13.01.2018 05:30 - 13.01.2018 06:00,0,358
13.01.2018 06:00 - 13.01.2018 06:30,0,382
13.01.2018 06:30 - 13.01.2018 07:00,0,398
13.01.2018 07:00 - 13.01.2018 07:30,0,410
13.01.2018 07:30 - 13.01.2018 08:00,0,412
13.01.2018 08:00 - 13.01.2018 08:30,0,411
13.01.2018 08:30 - 13.01.2018 09:00,0,405
13.01.2018 09:00 - 13.01.2018 09:30,0,399
13.01.2018 09:30 - 13.01.2018 10:00,0,390
13.01.2018 10:00 - 13.01.2018 10:30,0,400
13.01.2018 10:30 - 13.01.2018 11:00,0,411
13.01.2018 11:00 - 13.01.2018 11:30,0,418
13.01.2018 11:30 - 13.01.2018 12:00,0,418
13.01.2018 12:00 - 13.01.2018 12:30,0,432
13.01.2018 12:30 - 13.01.2018 13:00,0,433
13.01.2018 13:00 - 13.01.2018 13:30,0,434
13.01.2018 13:30 - 13.01.2018 14:00,0,431
13.01.2018 14:00 - 13.01.2018 14:30,0,442
13.01.2018 14:30 - 13.01.2018 15:00,0,454
13.01.2018 15:00 - 13.01.2018 15:30,0,463
13.01.2018 15:30 - 13.01.2018 16:00,0,478
13.01.2018 16:00 - 13.01.2018 16:30,0,546
13.01.2018 16:30 - 13.01.2018 17:00,0,590
13.01.2018 17:00 - 13.01.2018 17:30,0,606
13.01.2018 17:30 - 13.01.2018 18:00,0,610
13.01.2018 18:00 - 13.01.2018 18:30,0,611
13.01.2018 18:30 - 13.01.2018 19:00,0,607
13.01.2018 19:00 - 13.01.2018 19:30,0,593
13.01.2018 19:30 - 13.01.2018 20:00,0,571
13.01.2018 20:00 - 13.01.2018 20:30,0,568
13.01.2018 20:30 - 13.01.2018 21:00,0,557
13.01.2018 21:00 - 13.01.2018 21:30,0,540
13.01.2018 21:30 - 13.01.2018 22:00,0,525
13.01.2018 22:00 - 13.01.2018 22:30,0,510
13.01.2018 22:30 - 13.01.2018 23:00,0,489
13.01.2018 23:00 - 13.01.2018 23:30,0,458
13.01.2018 23:30 - 14.01.2018 00:00,0,431
14.01.2018 00:00 - 14.01.2018 00:30,0,407
14.01.2018 00:30 - 14.01.2018 01:00,0,390
14.01.2018 01:00 - 14.01.2018 01:30,0,373
14.01.2018 01:30 - 14.01.2018 02:00,0,362
14.01.2018 02:00 - 14.01.2018 02:30,0,355
14.01.2018 02:30 - 14.01.2018 03:00,0,351
14.01.2018 03:00 - 14.01.2018 03:30,0,350
14.01.2018 03:30 - 14.01.2018 04:00,0,350
14.01.2018 04:00 - 14.01.2018 04:30,0,354
14.01.2018 04:30 - 14.01.2018 05:00,0,360
14.01.2018 05:00 - 14.01.2018 05:30,0,367
14.01.2018 05:30 - 14.01.2018 06:00,0,366
14.01.2018 06:00 - 14.01.2018 06:30,0,379
14.01.2018 06:30 - 14.01.2018 07:00,0,390
14.01.2018 07:00 - 14.01.2018 07:30,0,402
14.01.2018 07:30 - 14.01.2018 08:00,0,411
14.01.2018 08:00 - 14.01.2018 08:30,0,421
14.01.2018 08:30 - 14.01.2018 09:00,0,428
14.01.2018 09:00 - 14.01.2018 09:30,0,431
14.01.2018 09:30 - 14.01.2018 10:00,0,430
14.01.2018 10:00 - 14.01.2018 10:30,0,446
14.01.2018 10:30 - 14.01.2018 11:00,0,456
14.01.2018 11:00 - 14.01.2018 11:30,0,454
14.01.2018 11:30 - 14.01.2018 12:00,0,445
14.01.2018 12:00 - 14.01.2018 12:30,0,441
14.01.2018 12:30 - 14.01.2018 13:00,0,438
14.01.2018 13:00 - 14.01.2018 13:30,0,443
14.01.2018 13:30 - 14.01.2018 14:00,0,457
14.01.2018 14:00 - 14.01.2018 14:30,0,477
14.01.2018 14:30 - 14.01.2018 15:00,0,481
14.01.2018 15:00 - 14.01.2018 15:30,0,489
14.01.2018 15:30 - 14.01.2018 16:00,0,506
14.01.2018 16:00 - 14.01.2018 16:30,0,560
14.01.2018 16:30 - 14.01.2018 17:00,0,594
14.01.2018 17:00 - 14.01.2018 17:30,0,612
14.01.2018 17:30 - 14.01.2018 18:00,0,618
14.01.2018 18:00 - 14.01.2018 18:30,0,620
14.01.2018 18:30 - 14.01.2018 19:00,0,621
14.01.2018 19:00 - 14.01.2018 19:30,0,618
14.01.2018 19:30 - 14.01.2018 20:00,0,613
14.01.2018 20:00 - 14.01.2018 20:30,0,599
14.01.2018 20:30 - 14.01.2018 21:00,0,582
14.01.2018 21:00 - 14.01.2018 21:30,0,556
14.01.2018 21:30 - 14.01.2018 22:00,0,529
14.01.2018 22:00 - 14.01.2018 22:30,0,503
14.01.2018 22:30 - 14.01.2018 23:00,0,475
14.01.2018 23:00 - 14.01.2018 23:30,0,437
14.01.2018 23:30 - 15.01.2018 00:00,0,409
15.01.2018 00:00 - 15.01.2018 00:30,0,388
15.01.2018 00:30 - 15.01.2018 01:00,0,373
15.01.2018 01:00 - 15.01.2018 01:30,0,361
15.01.2018 01:30 - 15.01.2018 02:00,0,352
15.01.2018 02:00 - 15.01.2018 02:30,0,348
15.01.2018 02:30 - 15.01.2018 03:00,0,346
15.01.2018 03:00 - 15.01.2018 03:30,0,349
15.01.2018 03:30 - 15.01.2018 04:00,0,354
15.01.2018 04:00 - 15.01.2018 04:30,0,367
15.01.2018 04:30 - 15.01.2018 05:00,0,390
15.01.2018 05:00 - 15.01.2018 05:30,0,433
15.01.2018 05:30 - 15.01.2018 06:00,0,469
15.01.2018 06:00 - 15.01.2018 06:30,0,502
15.01.2018 06:30 - 15.01.2018 07:00,0,515
15.01.2018 07:00 - 15.01.2018 07:30,0,532
15.01.2018 07:30 - 15.01.2018 08:00,0,531
15.01.2018 08:00 - 15.01.2018 08:30,0,522
15.01.2018 08:30 - 15.01.2018 09:00,0,510
15.01.2018 09:00 - 15.01.2018 09:30,0,498
15.01.2018 09:30 - 15.01.2018 10:00,0,491
15.01.2018 10:00 - 15.01.2018 10:30,0,492
15.01.2018 10:30 - 15.01.2018 11:00,0,497
15.01.2018 11:00 - 15.01.2018 11:30,0,496
15.01.2018 11:30 - 15.01.2018 12:00,0,490
15.01.2018 12:00 - 15.01.2018 12:30,0,484
15.01.2018 12:30 - 15.01.2018 13:00,0,486
15.01.2018 13:00 - 15.01.2018 13:30,0,494
15.01.2018 13:30 - 15.01.2018 14:00,0,504
15.01.2018 14:00 - 15.01.2018 14:30,0,517
15.01.2018 14:30 - 15.01.2018 15:00,0,517
15.01.2018 15:00 - 15.01.2018 15:30,0,521
15.01.2018 15:30 - 15.01.2018 16:00,0,544
15.01.2018 16:00 - 15.01.2018 16:30,0,605
15.01.2018 16:30 - 15.01.2018 17:00,0,647
15.01.2018 17:00 - 15.01.2018 17:30,0,665
15.01.2018 17:30 - 15.01.2018 18:00,0,673
15.01.2018 18:00 - 15.01.2018 18:30,0,673
15.01.2018 18:30 - 15.01.2018 19:00,0,671
15.01.2018 19:00 - 15.01.2018 19:30,0,661
15.01.2018 19:30 - 15.01.2018 20:00,0,649
15.01.2018 20:00 - 15.01.2018 20:30,0,632
15.01.2018 20:30 - 15.01.2018 21:00,0,611
15.01.2018 21:00 - 15.01.2018 21:30,0,577
15.01.2018 21:30 - 15.01.2018 22:00,0,549
15.01.2018 22:00 - 15.01.2018 22:30,0,514
15.01.2018 22:30 - 15.01.2018 23:00,0,482
15.01.2018 23:00 - 15.01.2018 23:30,0,444
15.01.2018 23:30 - 16.01.2018 00:00,0,416
16.01.2018 00:00 - 16.01.2018 00:30,0,395
16.01.2018 00:30 - 16.01.2018 01:00,0,379
16.01.2018 01:00 - 16.01.2018 01:30,0,368
16.01.2018 01:30 - 16.01.2018 02:00,0,360
16.01.2018 02:00 - 16.01.2018 02:30,0,355
16.01.2018 02:30 - 16.01.2018 03:00,0,353
16.01.2018 03:00 - 16.01.2018 03:30,0,355
16.01.2018 03:30 - 16.01.2018 04:00,0,360
16.01.2018 04:00 - 16.01.2018 04:30,0,373
16.01.2018 04:30 - 16.01.2018 05:00,0,396
16.01.2018 05:00 - 16.01.2018 05:30,0,437
16.01.2018 05:30 - 16.01.2018 06:00,0,472
16.01.2018 06:00 - 16.01.2018 06:30,0,504
16.01.2018 06:30 - 16.01.2018 07:00,0,514
16.01.2018 07:00 - 16.01.2018 07:30,0,530
16.01.2018 07:30 - 16.01.2018 08:00,0,525
16.01.2018 08:00 - 16.01.2018 08:30,0,526
16.01.2018 08:30 - 16.01.2018 09:00,0,532
16.01.2018 09:00 - 16.01.2018 09:30,0,534
16.01.2018 09:30 - 16.01.2018 10:00,0,538
16.01.2018 10:00 - 16.01.2018 10:30,0,525
16.01.2018 10:30 - 16.01.2018 11:00,0,518
16.01.2018 11:00 - 16.01.2018 11:30,0,511
16.01.2018 11:30 - 16.01.2018 12:00,0,513
16.01.2018 12:00 - 16.01.2018 12:30,0,508
16.01.2018 12:30 - 16.01.2018 13:00,0,505
16.01.2018 13:00 - 16.01.2018 13:30,0,512
16.01.2018 13:30 - 16.01.2018 14:00,0,516
16.01.2018 14:00 - 16.01.2018 14:30,0,525
16.01.2018 14:30 - 16.01.2018 15:00,0,539
16.01.2018 15:00 - 16.01.2018 15:30,0,549
16.01.2018 15:30 - 16.01.2018 16:00,0,573
16.01.2018 16:00 - 16.01.2018 16:30,0,624
16.01.2018 16:30 - 16.01.2018 17:00,0,666
16.01.2018 17:00 - 16.01.2018 17:30,0,681
16.01.2018 17:30 - 16.01.2018 18:00,0,692
16.01.2018 18:00 - 16.01.2018 18:30,0,691
16.01.2018 18:30 - 16.01.2018 19:00,0,687
16.01.2018 19:00 - 16.01.2018 19:30,0,677
16.01.2018 19:30 - 16.01.2018 20:00,0,662
16.01.2018 20:00 - 16.01.2018 20:30,0,640
16.01.2018 20:30 - 16.01.2018 21:00,0,621
16.01.2018 21:00 - 16.01.2018 21:30,0,588
16.01.2018 21:30 - 16.01.2018 22:00,0,556
16.01.2018 22:00 - 16.01.2018 22:30,0,516
16.01.2018 22:30 - 16.01.2018 23:00,0,486
16.01.2018 23:00 - 16.01.2018 23:30,0,447
16.01.2018 23:30 - 17.01.2018 00:00,0,419
17.01.2018 00:00 - 17.01.2018 00:30,0,397
17.01.2018 00:30 - 17.01.2018 01:00,0,382
17.01.2018 01:00 - 17.01.2018 01:30,0,372
17.01.2018 01:30 - 17.01.2018 02:00,0,364
17.01.2018 02:00 - 17.01.2018 02:30,0,358
17.01.2018 02:30 - 17.01.2018 03:00,0,355
17.01.2018 03:00 - 17.01.2018 03:30,0,358
17.01.2018 03:30 - 17.01.2018 04:00,0,362
17.01.2018 04:00 - 17.01.2018 04:30,0,376
17.01.2018 04:30 - 17.01.2018 05:00,0,400
17.01.2018 05:00 - 17.01.2018 05:30,0,444
17.01.2018 05:30 - 17.01.2018 06:00,0,479
17.01.2018 06:00 - 17.01.2018 06:30,0,516
17.01.2018 06:30 - 17.01.2018 07:00,0,524
17.01.2018 07:00 - 17.01.2018 07:30,0,532
17.01.2018 07:30 - 17.01.2018 08:00,0,522
17.01.2018 08:00 - 17.01.2018 08:30,0,510
17.01.2018 08:30 - 17.01.2018 09:00,0,508
17.01.2018 09:00 - 17.01.2018 09:30,0,499
17.01.2018 09:30 - 17.01.2018 10:00,0,500
17.01.2018 10:00 - 17.01.2018 10:30,0,506
17.01.2018 10:30 - 17.01.2018 11:00,0,515
17.01.2018 11:00 - 17.01.2018 11:30,0,521
17.01.2018 11:30 - 17.01.2018 12:00,0,530
17.01.2018 12:00 - 17.01.2018 12:30,0,534
17.01.2018 12:30 - 17.01.2018 13:00,0,536
17.01.2018 13:00 - 17.01.2018 13:30,0,540
17.01.2018 13:30 - 17.01.2018 14:00,0,542
17.01.2018 14:00 - 17.01.2018 14:30,0,546
17.01.2018 14:30 - 17.01.2018 15:00,0,554
17.01.2018 15:00 - 17.01.2018 15:30,0,561
17.01.2018 15:30 - 17.01.2018 16:00,0,581
17.01.2018 16:00 - 17.01.2018 16:30,0,633
17.01.2018 16:30 - 17.01.2018 17:00,0,676
17.01.2018 17:00 - 17.01.2018 17:30,0,690
17.01.2018 17:30 - 17.01.2018 18:00,0,695
17.01.2018 18:00 - 17.01.2018 18:30,0,691
17.01.2018 18:30 - 17.01.2018 19:00,0,681
17.01.2018 19:00 - 17.01.2018 19:30,0,663
17.01.2018 19:30 - 17.01.2018 20:00,0,647
17.01.2018 20:00 - 17.01.2018 20:30,0,629
17.01.2018 20:30 - 17.01.2018 21:00,0,611
17.01.2018 21:00 - 17.01.2018 21:30,0,589
17.01.2018 21:30 - 17.01.2018 22:00,0,557
17.01.2018 22:00 - 17.01.2018 22:30,0,519
17.01.2018 22:30 - 17.01.2018 23:00,0,489
17.01.2018 23:00 - 17.01.2018 23:30,0,451
17.01.2018 23:30 - 18.01.2018 00:00,0,420
18.01.2018 00:00 - 18.01.2018 00:30,0,396
18.01.2018 00:30 - 18.01.2018 01:00,0,380
18.01.2018 01:00 - 18.01.2018 01:30,0,369
18.01.2018 01:30 - 18.01.2018 02:00,0,360
18.01.2018 02:00 - 18.01.2018 02:30,0,356
18.01.2018 02:30 - 18.01.2018 03:00,0,354
18.01.2018 03:00 - 18.01.2018 03:30,0,356
18.01.2018 03:30 - 18.01.2018 04:00,0,360
18.01.2018 04:00 - 18.01.2018 04:30,0,374
18.01.2018 04:30 - 18.01.2018 05:00,0,397
18.01.2018 05:00 - 18.01.2018 05:30,0,439
18.01.2018 05:30 - 18.01.2018 06:00,0,474
18.01.2018 06:00 - 18.01.2018 06:30,0,513
18.01.2018 06:30 - 18.01.2018 07:00,0,528
18.01.2018 07:00 - 18.01.2018 07:30,0,563
18.01.2018 07:30 - 18.01.2018 08:00,0,581
18.01.2018 08:00 - 18.01.2018 08:30,0,581
18.01.2018 08:30 - 18.01.2018 09:00,0,586
18.01.2018 09:00 - 18.01.2018 09:30,0,578
18.01.2018 09:30 - 18.01.2018 10:00,0,571
18.01.2018 10:00 - 18.01.2018 10:30,0,569
18.01.2018 10:30 - 18.01.2018 11:00,0,583
18.01.2018 11:00 - 18.01.2018 11:30,0,590
18.01.2018 11:30 - 18.01.2018 12:00,0,600
18.01.2018 12:00 - 18.01.2018 12:30,0,606
18.01.2018 12:30 - 18.01.2018 13:00,0,608
18.01.2018 13:00 - 18.01.2018 13:30,0,614
18.01.2018 13:30 - 18.01.2018 14:00,0,625
18.01.2018 14:00 - 18.01.2018 14:30,0,630
18.01.2018 14:30 - 18.01.2018 15:00,0,631
18.01.2018 15:00 - 18.01.2018 15:30,0,625
18.01.2018 15:30 - 18.01.2018 16:00,0,639
18.01.2018 16:00 - 18.01.2018 16:30,0,681
18.01.2018 16:30 - 18.01.2018 17:00,0,720
18.01.2018 17:00 - 18.01.2018 17:30,0,736
18.01.2018 17:30 - 18.01.2018 18:00,0,742
18.01.2018 18:00 - 18.01.2018 18:30,0,738
18.01.2018 18:30 - 18.01.2018 19:00,0,723
18.01.2018 19:00 - 18.01.2018 19:30,0,704
18.01.2018 19:30 - 18.01.2018 20:00,0,687
18.01.2018 20:00 - 18.01.2018 20:30,0,668
18.01.2018 20:30 - 18.01.2018 21:00,0,644
18.01.2018 21:00 - 18.01.2018 21:30,0,609
18.01.2018 21:30 - 18.01.2018 22:00,0,578
18.01.2018 22:00 - 18.01.2018 22:30,0,535
18.01.2018 22:30 - 18.01.2018 23:00,0,500
18.01.2018 23:00 - 18.01.2018 23:30,0,459
18.01.2018 23:30 - 19.01.2018 00:00,0,433
19.01.2018 00:00 - 19.01.2018 00:30,0,411
19.01.2018 00:30 - 19.01.2018 01:00,0,394
19.01.2018 01:00 - 19.01.2018 01:30,0,388
19.01.2018 01:30 - 19.01.2018 02:00,0,371
19.01.2018 02:00 - 19.01.2018 02:30,0,367
19.01.2018 02:30 - 19.01.2018 03:00,0,365
19.01.2018 03:00 - 19.01.2018 03:30,0,370
19.01.2018 03:30 - 19.01.2018 04:00,0,373
19.01.2018 04:00 - 19.01.2018 04:30,0,386
19.01.2018 04:30 - 19.01.2018 05:00,0,413
19.01.2018 05:00 - 19.01.2018 05:30,0,455
19.01.2018 05:30 - 19.01.2018 06:00,0,496
19.01.2018 06:00 - 19.01.2018 06:30,0,530
19.01.2018 06:30 - 19.01.2018 07:00,0,540
19.01.2018 07:00 - 19.01.2018 07:30,0,563
19.01.2018 07:30 - 19.01.2018 08:00,0,558
19.01.2018 08:00 - 19.01.2018 08:30,0,550
19.01.2018 08:30 - 19.01.2018 09:00,0,537
19.01.2018 09:00 - 19.01.2018 09:30,0,526
19.01.2018 09:30 - 19.01.2018 10:00,0,517
19.01.2018 10:00 - 19.01.2018 10:30,0,519
19.01.2018 10:30 - 19.01.2018 11:00,0,527
19.01.2018 11:00 - 19.01.2018 11:30,0,520
19.01.2018 11:30 - 19.01.2018 12:00,0,512
19.01.2018 12:00 - 19.01.2018 12:30,0,502
19.01.2018 12:30 - 19.01.2018 13:00,0,500
19.01.2018 13:00 - 19.01.2018 13:30,0,502
19.01.2018 13:30 - 19.01.2018 14:00,0,503
19.01.2018 14:00 - 19.01.2018 14:30,0,510
19.01.2018 14:30 - 19.01.2018 15:00,0,527
19.01.2018 15:00 - 19.01.2018 15:30,0,540
19.01.2018 15:30 - 19.01.2018 16:00,0,567
19.01.2018 16:00 - 19.01.2018 16:30,0,627
19.01.2018 16:30 - 19.01.2018 17:00,0,681
19.01.2018 17:00 - 19.01.2018 17:30,0,702
19.01.2018 17:30 - 19.01.2018 18:00,0,710
19.01.2018 18:00 - 19.01.2018 18:30,0,712
19.01.2018 18:30 - 19.01.2018 19:00,0,705
19.01.2018 19:00 - 19.01.2018 19:30,0,690
19.01.2018 19:30 - 19.01.2018 20:00,0,673
19.01.2018 20:00 - 19.01.2018 20:30,0,656
19.01.2018 20:30 - 19.01.2018 21:00,0,642
19.01.2018 21:00 - 19.01.2018 21:30,0,618
19.01.2018 21:30 - 19.01.2018 22:00,0,593
19.01.2018 22:00 - 19.01.2018 22:30,0,559
19.01.2018 22:30 - 19.01.2018 23:00,0,529
19.01.2018 23:00 - 19.01.2018 23:30,0,490
19.01.2018 23:30 - 20.01.2018 00:00,0,458
20.01.2018 00:00 - 20.01.2018 00:30,0,432
20.01.2018 00:30 - 20.01.2018 01:00,0,410
20.01.2018 01:00 - 20.01.2018 01:30,0,394
20.01.2018 01:30 - 20.01.2018 02:00,0,383
20.01.2018 02:00 - 20.01.2018 02:30,0,375
20.01.2018 02:30 - 20.01.2018 03:00,0,371
20.01.2018 03:00 - 20.01.2018 03:30,0,372
20.01.2018 03:30 - 20.01.2018 04:00,0,373
20.01.2018 04:00 - 20.01.2018 04:30,0,380
20.01.2018 04:30 - 20.01.2018 05:00,0,391
20.01.2018 05:00 - 20.01.2018 05:30,0,400
20.01.2018 05:30 - 20.01.2018 06:00,0,406
20.01.2018 06:00 - 20.01.2018 06:30,0,434
20.01.2018 06:30 - 20.01.2018 07:00,0,452
20.01.2018 07:00 - 20.01.2018 07:30,0,468
20.01.2018 07:30 - 20.01.2018 08:00,0,472
20.01.2018 08:00 - 20.01.2018 08:30,0,471
20.01.2018 08:30 - 20.01.2018 09:00,0,465
20.01.2018 09:00 - 20.01.2018 09:30,0,460
20.01.2018 09:30 - 20.01.2018 10:00,0,457
20.01.2018 10:00 - 20.01.2018 10:30,0,454
20.01.2018 10:30 - 20.01.2018 11:00,0,451
20.01.2018 11:00 - 20.01.2018 11:30,0,445
20.01.2018 11:30 - 20.01.2018 12:00,0,447
20.01.2018 12:00 - 20.01.2018 12:30,0,446
20.01.2018 12:30 - 20.01.2018 13:00,0,442
20.01.2018 13:00 - 20.01.2018 13:30,0,442
20.01.2018 13:30 - 20.01.2018 14:00,0,449
20.01.2018 14:00 - 20.01.2018 14:30,0,462
20.01.2018 14:30 - 20.01.2018 15:00,0,480
20.01.2018 15:00 - 20.01.2018 15:30,0,497
20.01.2018 15:30 - 20.01.2018 16:00,0,518
20.01.2018 16:00 - 20.01.2018 16:30,0,569
20.01.2018 16:30 - 20.01.2018 17:00,0,616
20.01.2018 17:00 - 20.01.2018 17:30,0,640
20.01.2018 17:30 - 20.01.2018 18:00,0,650
20.01.2018 18:00 - 20.01.2018 18:30,0,655
20.01.2018 18:30 - 20.01.2018 19:00,0,649
20.01.2018 19:00 - 20.01.2018 19:30,0,636
20.01.2018 19:30 - 20.01.2018 20:00,0,619
20.01.2018 20:00 - 20.01.2018 20:30,0,607
20.01.2018 20:30 - 20.01.2018 21:00,0,597
20.01.2018 21:00 - 20.01.2018 21:30,0,585
20.01.2018 21:30 - 20.01.2018 22:00,0,569
20.01.2018 22:00 - 20.01.2018 22:30,0,546
20.01.2018 22:30 - 20.01.2018 23:00,0,524
20.01.2018 23:00 - 20.01.2018 23:30,0,491
20.01.2018 23:30 - 21.01.2018 00:00,0,459
21.01.2018 00:00 - 21.01.2018 00:30,0,433
21.01.2018 00:30 - 21.01.2018 01:00,0,412
21.01.2018 01:00 - 21.01.2018 01:30,0,396
21.01.2018 01:30 - 21.01.2018 02:00,0,384
21.01.2018 02:00 - 21.01.2018 02:30,0,375
21.01.2018 02:30 - 21.01.2018 03:00,0,371
21.01.2018 03:00 - 21.01.2018 03:30,0,370
21.01.2018 03:30 - 21.01.2018 04:00,0,370
21.01.2018 04:00 - 21.01.2018 04:30,0,373
21.01.2018 04:30 - 21.01.2018 05:00,0,378
21.01.2018 05:00 - 21.01.2018 05:30,0,379
21.01.2018 05:30 - 21.01.2018 06:00,0,379
21.01.2018 06:00 - 21.01.2018 06:30,0,394
21.01.2018 06:30 - 21.01.2018 07:00,0,407
21.01.2018 07:00 - 21.01.2018 07:30,0,422
21.01.2018 07:30 - 21.01.2018 08:00,0,433
21.01.2018 08:00 - 21.01.2018 08:30,0,443
21.01.2018 08:30 - 21.01.2018 09:00,0,457
21.01.2018 09:00 - 21.01.2018 09:30,0,471
21.01.2018 09:30 - 21.01.2018 10:00,0,486
21.01.2018 10:00 - 21.01.2018 10:30,0,499
21.01.2018 10:30 - 21.01.2018 11:00,0,498
21.01.2018 11:00 - 21.01.2018 11:30,0,492
21.01.2018 11:30 - 21.01.2018 12:00,0,487
21.01.2018 12:00 - 21.01.2018 12:30,0,484
21.01.2018 12:30 - 21.01.2018 13:00,0,478
21.01.2018 13:00 - 21.01.2018 13:30,0,479
21.01.2018 13:30 - 21.01.2018 14:00,0,481
21.01.2018 14:00 - 21.01.2018 14:30,0,488
